T,action,atoms_or_gates,delta_row,delta_col,aod_offset_row,aod_offset_col,solver_duration_us,solver_end_us,paper_eq3_motion_us,paper_eq3_plus_solver_overheads_end_us
1,gate,288,0,0,0,0,1.5999999999999999,1.5999999999999999,0.0,1.5999999999999999
2,load,72,0,-1,0,-1,37.36067977499789,38.96067977499789,27.386127875258307,43.986127875258305
3,move,72,-36,0,-36,-1,134.16407864998737,173.12475842498526,164.31676725154983,208.30289512680815
4,gate,18,0,0,-36,-1,1.77,174.89475842498527,0.0,210.07289512680816
5,move,72,-2,0,-38,-1,31.62277660168379,206.51753502666907,38.72983346207417,248.80272858888233
6,gate,12,0,0,-38,-1,1.77,208.28753502666908,0.0,250.57272858888234
7,move,72,-4,0,-42,-1,44.72135954999579,253.00889457666486,54.772255750516614,305.34498433939893
8,gate,6,0,0,-42,-1,1.77,254.77889457666487,0.0,307.1149843393989
9,move,72,54,0,12,-1,164.31676725154983,419.0956618282147,201.24611797498108,508.36110231438
10,gate,54,0,0,12,-1,1.77,420.8656618282147,0.0,510.13110231438
11,move,72,-2,0,10,-1,31.62277660168379,452.48843842989845,38.72983346207417,548.8609357764542
12,gate,60,0,0,10,-1,1.77,454.25843842989843,0.0,550.6309357764542
13,move,72,-4,0,6,-1,44.72135954999579,498.9797979798942,54.772255750516614,605.4031915269708
14,gate,66,0,0,6,-1,1.77,500.7497979798942,0.0,607.1731915269708
15,move,72,-5,0,1,-1,49.99999999999999,550.7497979798942,61.237243569579455,668.4104350965503
16,move,72,0,-11,1,-12,74.16198487095662,624.9117828508508,90.82951062292474,759.239945719475
17,gate,36,0,0,1,-12,1.77,626.6817828508508,0.0,761.009945719475
18,move,72,0,-6,1,-18,54.77225575051661,681.4540386013674,67.08203932499369,828.0919850444687
19,gate,24,0,0,1,-18,1.77,683.2240386013674,0.0,829.8619850444687
20,move,72,0,-4,1,-22,44.72135954999579,727.9453981513632,54.772255750516614,884.6342407949853
21,gate,12,0,0,1,-22,1.77,729.7153981513632,0.0,886.4042407949853
22,move,72,0,34,1,12,130.384048104053,860.0994462554162,159.68719422671313,1046.0914350216985
23,gate,36,0,0,1,12,1.77,861.8694462554162,0.0,1047.8614350216985
24,move,72,0,-6,1,6,54.77225575051661,916.6417020059328,67.08203932499369,1114.9434743466923
25,gate,48,0,0,1,6,1.77,918.4117020059327,0.0,1116.7134743466922
26,move,72,0,-5,1,1,49.99999999999999,968.4117020059327,61.237243569579455,1177.9507179162717
27,move,72,-1,0,0,1,22.360679774997894,990.7723817809307,27.386127875258307,1205.33684579153
28,gate,60,0,0,0,1,1.77,992.5423817809307,0.0,1207.10684579153
29,unload,72,0,-1,0,0,37.36067977499789,1029.9030615559286,27.386127875258307,1249.4929736667884
30,gate,216,0,0,0,0,1.5999999999999999,1031.5030615559285,0.0,1251.0929736667883
31,load,72,0,1,0,1,37.36067977499789,1068.8637413309264,27.386127875258307,1293.4791015420467
32,move,72,36,0,36,1,134.16407864998737,1203.0278199809138,164.31676725154983,1457.7958687935966
33,gate,18,0,0,36,1,1.77,1204.7978199809138,0.0,1459.5658687935966
34,move,72,2,0,38,1,31.62277660168379,1236.4205965825977,38.72983346207417,1498.2957022556707
35,gate,12,0,0,38,1,1.77,1238.1905965825977,0.0,1500.0657022556707
36,move,72,4,0,42,1,44.72135954999579,1282.9119561325936,54.772255750516614,1554.8379580061874
37,gate,6,0,0,42,1,1.77,1284.6819561325935,0.0,1556.6079580061873
38,move,72,-54,0,-12,1,164.31676725154983,1448.9987233841434,201.24611797498108,1757.8540759811685
39,gate,54,0,0,-12,1,1.77,1450.7687233841434,0.0,1759.6240759811685
40,move,72,2,0,-10,1,31.62277660168379,1482.3914999858273,38.72983346207417,1798.3539094432426
41,gate,60,0,0,-10,1,1.77,1484.1614999858273,0.0,1800.1239094432426
42,move,72,4,0,-6,1,44.72135954999579,1528.8828595358232,54.772255750516614,1854.8961651937593
43,gate,66,0,0,-6,1,1.77,1530.6528595358232,0.0,1856.6661651937593
44,move,72,5,0,-1,1,49.99999999999999,1580.6528595358232,61.237243569579455,1917.9034087633388
45,move,72,0,11,-1,12,74.16198487095662,1654.8148444067797,90.82951062292474,2008.7329193862636
46,gate,36,0,0,-1,12,1.77,1656.5848444067797,0.0,2010.5029193862636
47,move,72,0,6,-1,18,54.77225575051661,1711.3571001572964,67.08203932499369,2077.584958711257
48,gate,24,0,0,-1,18,1.77,1713.1271001572964,0.0,2079.354958711257
49,move,72,0,4,-1,22,44.72135954999579,1757.8484597072922,54.772255750516614,2134.1272144617737
50,gate,12,0,0,-1,22,1.77,1759.6184597072922,0.0,2135.8972144617737
51,move,72,0,-34,-1,-12,130.384048104053,1890.0025078113451,159.68719422671313,2295.5844086884867
52,gate,36,0,0,-1,-12,1.77,1891.7725078113451,0.0,2297.3544086884867
53,move,72,0,6,-1,-6,54.77225575051661,1946.5447635618618,67.08203932499369,2364.4364480134805
54,gate,48,0,0,-1,-6,1.77,1948.3147635618618,0.0,2366.2064480134804
55,move,72,0,5,-1,-1,49.99999999999999,1998.3147635618618,61.237243569579455,2427.4436915830597
56,move,72,1,0,0,-1,22.360679774997894,2020.6754433368596,27.386127875258307,2454.829819458318
57,gate,60,0,0,0,-1,1.77,2022.4454433368596,0.0,2456.599819458318
58,unload,72,0,1,0,0,37.36067977499789,2059.8061231118577,27.386127875258307,2498.9859473335764
59,gate,72,0,0,0,0,1.5999999999999999,2061.4061231118576,0.0,2500.5859473335763
