T,action,atoms_or_gates,delta_row,delta_col,aod_offset_row,aod_offset_col,solver_duration_us,solver_end_us,paper_eq3_motion_us,paper_eq3_plus_solver_overheads_end_us
1,gate,288,0,0,0,0,1.5999999999999999,1.5999999999999999,0.0,1.5999999999999999
2,load,72,0,-1,0,-1,75.30226891555272,76.90226891555271,27.386127875258307,43.986127875258305
3,move,72,-36,0,-36,-1,361.8136134933163,438.71588240886905,164.31676725154983,208.30289512680815
4,gate,18,0,0,-36,-1,1.77,440.48588240886903,0.0,210.07289512680816
5,move,72,-2,0,-38,-1,85.28028654224417,525.7661689511132,38.72983346207417,248.80272858888233
6,gate,12,0,0,-38,-1,1.77,527.5361689511132,0.0,250.57272858888234
7,move,72,-4,0,-42,-1,120.60453783110545,648.1407067822186,54.772255750516614,305.34498433939893
8,gate,6,0,0,-42,-1,1.77,649.9107067822185,0.0,307.1149843393989
9,move,72,54,0,12,-1,445.4545454545454,1095.3652522367638,201.24611797498108,508.36110231438
10,gate,54,0,0,12,-1,1.77,1097.1352522367638,0.0,510.13110231438
11,move,72,-2,0,10,-1,85.28028654224417,1182.4155387790079,38.72983346207417,548.8609357764542
12,gate,60,0,0,10,-1,1.77,1184.1855387790079,0.0,550.6309357764542
13,move,72,-4,0,6,-1,120.60453783110545,1304.7900766101134,54.772255750516614,605.4031915269708
14,gate,66,0,0,6,-1,1.77,1306.5600766101134,0.0,607.1731915269708
15,move,72,-5,0,1,-1,134.8399724926484,1441.4000491027618,61.237243569579455,668.4104350965503
16,move,72,0,-11,1,-12,199.99999999999997,1641.4000491027618,90.82951062292474,759.239945719475
17,gate,36,0,0,1,-12,1.77,1643.1700491027618,0.0,761.009945719475
18,move,72,0,-6,1,-18,147.70978917519926,1790.879838277961,67.08203932499369,828.0919850444687
19,gate,24,0,0,1,-18,1.77,1792.649838277961,0.0,829.8619850444687
20,move,72,0,-4,1,-22,120.60453783110545,1913.2543761090665,54.772255750516614,884.6342407949853
21,gate,12,0,0,1,-22,1.77,1915.0243761090665,0.0,886.4042407949853
22,move,72,0,34,1,12,351.619629196613,2266.6440053056795,159.68719422671313,1046.0914350216985
23,gate,36,0,0,1,12,1.77,2268.4140053056794,0.0,1047.8614350216985
24,move,72,0,-6,1,6,147.70978917519926,2416.1237944808786,67.08203932499369,1114.9434743466923
25,gate,48,0,0,1,6,1.77,2417.8937944808786,0.0,1116.7134743466922
26,move,72,0,-5,1,1,134.8399724926484,2552.733766973527,61.237243569579455,1177.9507179162717
27,move,72,-1,0,0,1,60.30226891555272,2613.03603588908,27.386127875258307,1205.33684579153
28,gate,60,0,0,0,1,1.77,2614.80603588908,0.0,1207.10684579153
29,unload,72,0,-1,0,0,75.30226891555272,2690.1083048046326,27.386127875258307,1249.4929736667884
30,gate,216,0,0,0,0,1.5999999999999999,2691.7083048046325,0.0,1251.0929736667883
31,load,72,0,1,0,1,75.30226891555272,2767.010573720185,27.386127875258307,1293.4791015420467
32,move,72,36,0,36,1,361.8136134933163,3128.8241872135013,164.31676725154983,1457.7958687935966
33,gate,18,0,0,36,1,1.77,3130.5941872135013,0.0,1459.5658687935966
34,move,72,2,0,38,1,85.28028654224417,3215.8744737557454,38.72983346207417,1498.2957022556707
35,gate,12,0,0,38,1,1.77,3217.6444737557454,0.0,1500.0657022556707
36,move,72,4,0,42,1,120.60453783110545,3338.249011586851,54.772255750516614,1554.8379580061874
37,gate,6,0,0,42,1,1.77,3340.019011586851,0.0,1556.6079580061873
38,move,72,-54,0,-12,1,445.4545454545454,3785.4735570413964,201.24611797498108,1757.8540759811685
39,gate,54,0,0,-12,1,1.77,3787.2435570413963,0.0,1759.6240759811685
40,move,72,2,0,-10,1,85.28028654224417,3872.5238435836404,38.72983346207417,1798.3539094432426
41,gate,60,0,0,-10,1,1.77,3874.2938435836404,0.0,1800.1239094432426
42,move,72,4,0,-6,1,120.60453783110545,3994.898381414746,54.772255750516614,1854.8961651937593
43,gate,66,0,0,-6,1,1.77,3996.668381414746,0.0,1856.6661651937593
44,move,72,5,0,-1,1,134.8399724926484,4131.508353907394,61.237243569579455,1917.9034087633388
45,move,72,0,11,-1,12,199.99999999999997,4331.508353907394,90.82951062292474,2008.7329193862636
46,gate,36,0,0,-1,12,1.77,4333.278353907394,0.0,2010.5029193862636
47,move,72,0,6,-1,18,147.70978917519926,4480.9881430825935,67.08203932499369,2077.584958711257
48,gate,24,0,0,-1,18,1.77,4482.758143082594,0.0,2079.354958711257
49,move,72,0,4,-1,22,120.60453783110545,4603.3626809136995,54.772255750516614,2134.1272144617737
50,gate,12,0,0,-1,22,1.77,4605.1326809137,0.0,2135.8972144617737
51,move,72,0,-34,-1,-12,351.619629196613,4956.7523101103125,159.68719422671313,2295.5844086884867
52,gate,36,0,0,-1,-12,1.77,4958.522310110313,0.0,2297.3544086884867
53,move,72,0,6,-1,-6,147.70978917519926,5106.232099285512,67.08203932499369,2364.4364480134805
54,gate,48,0,0,-1,-6,1.77,5108.0020992855125,0.0,2366.2064480134804
55,move,72,0,5,-1,-1,134.8399724926484,5242.842071778161,61.237243569579455,2427.4436915830597
56,move,72,1,0,0,-1,60.30226891555272,5303.144340693713,27.386127875258307,2454.829819458318
57,gate,60,0,0,0,-1,1.77,5304.914340693714,0.0,2456.599819458318
58,unload,72,0,1,0,0,75.30226891555272,5380.216609609266,27.386127875258307,2498.9859473335764
59,gate,72,0,0,0,0,1.5999999999999999,5381.816609609266,0.0,2500.5859473335763
