T,action,atoms_or_gates,delta_row,delta_col,aod_offset_row,aod_offset_col,solver_duration_us,solver_end_us,paper_eq3_motion_us,paper_eq3_plus_solver_overheads_end_us
1,gate,72,0,0,0,0,1.5999999999999999,1.5999999999999999,0.0,1.5999999999999999
2,load,144,0,-1,0,-1,37.36067977499789,38.96067977499789,27.386127875258307,43.986127875258305
3,move,144,36,0,36,-1,134.16407864998737,173.12475842498526,164.31676725154983,208.30289512680815
4,gate,18,0,0,36,-1,1.77,174.89475842498527,0.0,210.07289512680816
5,move,144,-48,0,-12,-1,154.91933384829667,329.814092273282,189.73665961010275,399.8095547369109
6,gate,54,0,0,-12,-1,1.77,331.58409227328195,0.0,401.5795547369109
7,move,144,11,0,-1,-1,74.16198487095662,405.7460771442386,90.82951062292474,492.4090653598356
8,move,144,0,-5,-1,-6,49.99999999999999,455.7460771442386,61.237243569579455,553.6463089294151
9,gate,60,0,0,-1,-6,1.77,457.5160771442386,0.0,555.4163089294151
10,move,144,0,-4,-1,-10,44.72135954999579,502.23743669423436,54.772255750516614,610.1885646799317
11,gate,48,0,0,-1,-10,1.77,504.00743669423434,0.0,611.9585646799317
12,move,144,0,-2,-1,-12,31.62277660168379,535.6302132959181,38.72983346207417,650.6883981420058
13,gate,48,0,0,-1,-12,1.5999999999999999,537.2302132959181,0.0,652.2883981420058
14,gate,36,0,0,-1,-12,1.77,539.0002132959181,0.0,654.0583981420058
15,move,144,0,30,-1,18,122.4744871391589,661.474700435077,150.0,804.0583981420058
16,gate,12,0,0,-1,18,1.77,663.244700435077,0.0,805.8283981420058
17,move,144,0,-4,-1,14,44.72135954999579,707.9660599850728,54.772255750516614,860.6006538925224
18,gate,24,0,0,-1,14,1.77,709.7360599850728,0.0,862.3706538925223
19,move,144,0,-2,-1,12,31.62277660168379,741.3588365867565,38.72983346207417,901.1004873545965
20,gate,24,0,0,-1,12,1.5999999999999999,742.9588365867565,0.0,902.7004873545965
21,gate,36,0,0,-1,12,1.77,744.7288365867565,0.0,904.4704873545965
22,move,144,0,-11,-1,1,74.16198487095662,818.8908214577132,90.82951062292474,995.2999979775212
23,move,144,-5,0,-6,1,49.99999999999999,868.8908214577132,61.237243569579455,1056.5372415471006
24,gate,66,0,0,-6,1,1.77,870.6608214577132,0.0,1058.3072415471006
25,move,144,-4,0,-10,1,44.72135954999579,915.3821810077089,54.772255750516614,1113.0794972976173
26,gate,60,0,0,-10,1,1.77,917.1521810077089,0.0,1114.8494972976173
27,move,144,-24,0,-34,1,109.54451150103321,1026.6966925087422,134.16407864998737,1249.0135759476047
28,gate,60,0,0,-34,1,1.5999999999999999,1028.2966925087421,0.0,1250.6135759476047
