T,action,atoms_or_gates,delta_row,delta_col,aod_offset_row,aod_offset_col,solver_duration_us,solver_end_us,paper_eq3_motion_us,paper_eq3_plus_solver_overheads_end_us
1,gate,72,0,0,0,0,1.5999999999999999,1.5999999999999999,0.0,1.5999999999999999
2,load,144,0,-1,0,-1,75.30226891555272,76.90226891555271,27.386127875258307,43.986127875258305
3,move,144,36,0,36,-1,361.8136134933163,438.71588240886905,164.31676725154983,208.30289512680815
4,gate,18,0,0,36,-1,1.77,440.48588240886903,0.0,210.07289512680816
5,move,144,-48,0,-12,-1,418.18181818181813,858.6677005906872,189.73665961010275,399.8095547369109
6,gate,54,0,0,-12,-1,1.77,860.4377005906872,0.0,401.5795547369109
7,move,144,11,0,-1,-1,199.99999999999997,1060.4377005906872,90.82951062292474,492.4090653598356
8,move,144,0,-5,-1,-6,134.8399724926484,1195.2776730833357,61.237243569579455,553.6463089294151
9,gate,60,0,0,-1,-6,1.77,1197.0476730833357,0.0,555.4163089294151
10,move,144,0,-4,-1,-10,120.60453783110545,1317.6522109144412,54.772255750516614,610.1885646799317
11,gate,48,0,0,-1,-10,1.77,1319.4222109144412,0.0,611.9585646799317
12,move,144,0,-2,-1,-12,85.28028654224417,1404.7024974566853,38.72983346207417,650.6883981420058
13,gate,48,0,0,-1,-12,1.5999999999999999,1406.3024974566852,0.0,652.2883981420058
14,gate,36,0,0,-1,-12,1.77,1408.0724974566851,0.0,654.0583981420058
15,move,144,0,30,-1,18,330.2891295379082,1738.3616269945933,150.0,804.0583981420058
16,gate,12,0,0,-1,18,1.77,1740.1316269945933,0.0,805.8283981420058
17,move,144,0,-4,-1,14,120.60453783110545,1860.7361648256988,54.772255750516614,860.6006538925224
18,gate,24,0,0,-1,14,1.77,1862.5061648256988,0.0,862.3706538925223
19,move,144,0,-2,-1,12,85.28028654224417,1947.7864513679428,38.72983346207417,901.1004873545965
20,gate,24,0,0,-1,12,1.5999999999999999,1949.3864513679428,0.0,902.7004873545965
21,gate,36,0,0,-1,12,1.77,1951.1564513679427,0.0,904.4704873545965
22,move,144,0,-11,-1,1,199.99999999999997,2151.1564513679427,90.82951062292474,995.2999979775212
23,move,144,-5,0,-6,1,134.8399724926484,2285.996423860591,61.237243569579455,1056.5372415471006
24,gate,66,0,0,-6,1,1.77,2287.766423860591,0.0,1058.3072415471006
