k,seed,exit_code,wall_seconds,final_time_us,best_cost_min,best_cost_last,log_steps,schedule_file,log_file
0,0,0,0.6667701319966,1650372.5148007039,16.538995990619163,16.538995990619163,3,outputs/fastsa_stage2_controlled/bb144_controlled_k0_seed0.schedule.txt,outputs/fastsa_stage2_controlled/bb144_controlled_k0_seed0.fastsa_log.csv
1,0,0,0.681879443989601,1650372.5148007039,16.538995990619163,16.538995990619163,4,outputs/fastsa_stage2_controlled/bb144_controlled_k1_seed0.schedule.txt,outputs/fastsa_stage2_controlled/bb144_controlled_k1_seed0.fastsa_log.csv
2,0,0,0.6431864269834477,1650372.5148007039,16.538995990619163,16.538995990619163,5,outputs/fastsa_stage2_controlled/bb144_controlled_k2_seed0.schedule.txt,outputs/fastsa_stage2_controlled/bb144_controlled_k2_seed0.fastsa_log.csv
3,0,0,0.6672458559914958,1508132.0658733002,16.338955257958972,16.338955257958972,6,outputs/fastsa_stage2_controlled/bb144_controlled_k3_seed0.schedule.txt,outputs/fastsa_stage2_controlled/bb144_controlled_k3_seed0.fastsa_log.csv
5,0,0,0.7387577899789903,1508132.0658733002,16.338955257958972,16.338955257958972,8,outputs/fastsa_stage2_controlled/bb144_controlled_k5_seed0.schedule.txt,outputs/fastsa_stage2_controlled/bb144_controlled_k5_seed0.fastsa_log.csv
7,0,0,0.7053840879816562,1508132.0658733002,16.338955257958972,16.338955257958972,10,outputs/fastsa_stage2_controlled/bb144_controlled_k7_seed0.schedule.txt,outputs/fastsa_stage2_controlled/bb144_controlled_k7_seed0.fastsa_log.csv
10,0,0,0.8001323060016148,1529253.4944786315,16.215479887243152,16.215479887243152,13,outputs/fastsa_stage2_controlled/bb144_controlled_k10_seed0.schedule.txt,outputs/fastsa_stage2_controlled/bb144_controlled_k10_seed0.fastsa_log.csv
20,0,0,0.9860513060120866,1529253.4944786315,16.215479887243152,16.215479887243152,23,outputs/fastsa_stage2_controlled/bb144_controlled_k20_seed0.schedule.txt,outputs/fastsa_stage2_controlled/bb144_controlled_k20_seed0.fastsa_log.csv
50,0,0,1.441796355007682,1537391.9058009721,14.898437132267556,14.898437132267556,53,outputs/fastsa_stage2_controlled/bb144_controlled_k50_seed0.schedule.txt,outputs/fastsa_stage2_controlled/bb144_controlled_k50_seed0.fastsa_log.csv
100,0,0,2.323324370983755,1536852.9320167983,14.680361503514838,14.680361503514838,103,outputs/fastsa_stage2_controlled/bb144_controlled_k100_seed0.schedule.txt,outputs/fastsa_stage2_controlled/bb144_controlled_k100_seed0.fastsa_log.csv
1000,0,0,17.69980437500635,1536852.9320167983,14.680361503514838,14.680361503514838,1003,outputs/fastsa_stage2_controlled/bb144_controlled_k1000_seed0.schedule.txt,outputs/fastsa_stage2_controlled/bb144_controlled_k1000_seed0.fastsa_log.csv
