solver,config_json,qasm_arg,Tcomp (s),output_file,Texec (µs),Benchmark
naive_n_dag,Scheduler_Test/INPUT/bv_n14.json,bv_n14.qasm,81.583885,Scheduler_Test/OUTPUT/bv_n14.naive_n_dag.schedule.txt,4185.808800871916,BV-14
naive_dag,Scheduler_Test/INPUT/bv_n14.json,bv_n14.qasm,0.369181,Scheduler_Test/OUTPUT/bv_n14.naive_dag.schedule.txt,3985.8221276579634,BV-14
naive_n_dag,Scheduler_Test/INPUT/bv_n50.json,bv_n50.qasm,105.110749,Scheduler_Test/OUTPUT/bv_n50.naive_n_dag.schedule.txt,6977.726493056247,BV-50
naive_dag,Scheduler_Test/INPUT/bv_n50.json,bv_n50.qasm,0.379166,Scheduler_Test/OUTPUT/bv_n50.naive_dag.schedule.txt,8899.819684254046,BV-50
naive_n_dag,Scheduler_Test/INPUT/bv_n70.json,bv_n70.qasm,199.592804,Scheduler_Test/OUTPUT/bv_n70.naive_n_dag.schedule.txt,13117.678835233834,BV-70
naive_dag,Scheduler_Test/INPUT/bv_n70.json,bv_n70.qasm,0.40852,Scheduler_Test/OUTPUT/bv_n70.naive_dag.schedule.txt,14788.690768755914,BV-70
naive_n_dag,Scheduler_Test/INPUT/qft_n18.json,qft_n18_transpiled.qasm,343.78,Scheduler_Test/OUTPUT/qft_n18.naive_n_dag.schedule.txt,53160.1042282945,QFT-18
naive_dag,Scheduler_Test/INPUT/qft_n18.json,qft_n18_transpiled.qasm,0.474751,Scheduler_Test/OUTPUT/qft_n18.naive_dag.schedule.txt,100937.22440589874,QFT-18
naive_n_dag,Scheduler_Test/INPUT/qft_n29.json,qft_n29_transpiled.qasm,1002.54,Scheduler_Test/OUTPUT/qft_n29.naive_n_dag.schedule.txt,174289.979209677,QFT-29
naive_dag,Scheduler_Test/INPUT/qft_n29.json,qft_n29_transpiled.qasm,0.637311,Scheduler_Test/OUTPUT/qft_n29.naive_dag.schedule.txt,311446.4026798211,QFT-29
naive_n_dag,Scheduler_Test/INPUT/vqe_n30.json,vqe_n30.qasm,104.524093,Scheduler_Test/OUTPUT/vqe_n30.naive_n_dag.schedule.txt,9521.90391559371,VQE-30
naive_dag,Scheduler_Test/INPUT/vqe_n30.json,vqe_n30.qasm,0.434495,Scheduler_Test/OUTPUT/vqe_n30.naive_dag.schedule.txt,17681.892274866776,VQE-30
naive_n_dag,Scheduler_Test/INPUT/vqe_n50.json,vqe_n50.qasm,232.098793,Scheduler_Test/OUTPUT/vqe_n50.naive_n_dag.schedule.txt,21723.009239567487,VQE-50
naive_dag,Scheduler_Test/INPUT/vqe_n50.json,vqe_n50.qasm,0.421571,Scheduler_Test/OUTPUT/vqe_n50.naive_dag.schedule.txt,29421.751264451985,VQE-50
Enola,,bv_n14.qasm,669.48,,5583.98,BV-14
Enola,,bv_n50.qasm,1710.91,,10118.96,BV-50
Enola,,bv_n70.qasm,4334.5,,17620.11,BV-70
Enola,,qft_n18_transpiled.qasm,10917.8,,108173.62,QFT-18
Enola,,qft_n29_transpiled.qasm,24116,,239150,QFT-29
Enola,,vqe_n30.qasm,57.62,,5436.18,VQE-30
Enola,,vqe_n50.qasm,56.58,,10196.5,VQE-50
PowerMove,,bv_n14.qasm,28.79,,3034.2,BV-14
PowerMove,,bv_n50.qasm,17.95,,5631.26,BV-50
PowerMove,,bv_n70.qasm,20.3,,10277.27,BV-70
PowerMove,,qft_n18_transpiled.qasm,347.47,,36810.15,QFT-18
PowerMove,,qft_n29_transpiled.qasm,511.97,,89670.26,QFT-29
PowerMove,,vqe_n30.qasm,29.68,,1688.03,VQE-30
PowerMove,,vqe_n50.qasm,76.01,,2946.26,VQE-50
naive_n_dag,,bb144_bivariate_bicycle_cz.qasm,1898.63,Scheduler_Test/OUTPUT/bb144_n_fastsa_k1000.naive_n_dag.schedule.txt,109416.96722982454,"[[144,12,12]]"
naive_dag,,bb144_bivariate_bicycle_cz.qasm,2.14,Scheduler_Test/OUTPUT/bb144_n_fastsa_k1000.naive_dag.schedule.txt,562868.6664511404,"[[144,12,12]]"
Enola,script.py,bb144_bivariate_bicycle_cz.qasm,258.15,,742617.95,"[[144,12,12]]"
PowerMove,script.py,bb144_bivariate_bicycle_cz.qasm,30.66,,111798.29,"[[144,12,12]]"
